"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu May 30 04:12:29 GMT 2024","Thu May 30 04:12:30 GMT 2024","1908","","Contact Tests","","","","should create new contact",""
"passed","Thu May 30 04:12:21 GMT 2024","Thu May 30 04:12:21 GMT 2024","740","","Login Tests","","","","should login with valid credentials",""
"passed","Thu May 30 04:12:33 GMT 2024","Thu May 30 04:12:34 GMT 2024","114","","Contact Tests","","","","should delete existing contact",""
"passed","Thu May 30 04:12:21 GMT 2024","Thu May 30 04:12:22 GMT 2024","1114","","Login Tests","","","","should register new user",""
"passed","Thu May 30 04:12:30 GMT 2024","Thu May 30 04:12:33 GMT 2024","3010","","Contact Tests","","","","should edit existing contact",""
"passed","Thu May 30 04:12:20 GMT 2024","Thu May 30 04:12:21 GMT 2024","664","","Login Tests","","","","should get error with invalid credentils ",""
"passed","Thu May 30 04:12:22 GMT 2024","Thu May 30 04:12:23 GMT 2024","981","","Login Tests","","","","should get error for registering new user with existing email",""
