"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu May 30 04:21:48 GMT 2024","Thu May 30 04:21:49 GMT 2024","866","","Login Tests","","","","should login with valid credentials",""
"passed","Thu May 30 04:21:51 GMT 2024","Thu May 30 04:21:53 GMT 2024","1645","","Login Tests","","","","should get error for registering new user with existing email",""
"passed","Thu May 30 04:21:49 GMT 2024","Thu May 30 04:21:51 GMT 2024","1890","","Login Tests","","","","should register new user",""
"passed","Thu May 30 04:21:59 GMT 2024","Thu May 30 04:22:01 GMT 2024","2047","","Contact Tests","","","","should create new contact",""
"passed","Thu May 30 04:22:01 GMT 2024","Thu May 30 04:22:05 GMT 2024","3843","","Contact Tests","","","","should edit existing contact",""
"passed","Thu May 30 04:22:05 GMT 2024","Thu May 30 04:22:05 GMT 2024","228","","Contact Tests","","","","should delete existing contact",""
"passed","Thu May 30 04:21:48 GMT 2024","Thu May 30 04:21:48 GMT 2024","666","","Login Tests","","","","should get error with invalid credentils ",""
