"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu May 30 04:48:44 GMT 2024","Thu May 30 04:48:45 GMT 2024","683","","Login Tests","","","","should get error with invalid credentils ",""
"passed","Thu May 30 04:48:47 GMT 2024","Thu May 30 04:48:49 GMT 2024","1596","","Login Tests","","","","should get error for registering new user with existing email",""
"passed","Thu May 30 04:49:00 GMT 2024","Thu May 30 04:49:00 GMT 2024","165","","Contact Tests","","","","should delete existing contact",""
"passed","Thu May 30 04:48:55 GMT 2024","Thu May 30 04:48:57 GMT 2024","2078","","Contact Tests","","","","should create new contact",""
"passed","Thu May 30 04:48:57 GMT 2024","Thu May 30 04:49:00 GMT 2024","3213","","Contact Tests","","","","should edit existing contact",""
"passed","Thu May 30 04:48:45 GMT 2024","Thu May 30 04:48:46 GMT 2024","830","","Login Tests","","","","should login with valid credentials",""
"passed","Thu May 30 04:48:46 GMT 2024","Thu May 30 04:48:47 GMT 2024","1771","","Login Tests","","","","should register new user",""
