"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu May 30 04:59:50 GMT 2024","Thu May 30 04:59:52 GMT 2024","1684","","Login Tests","","","","should get error for registering new user with existing email",""
"passed","Thu May 30 04:59:47 GMT 2024","Thu May 30 04:59:47 GMT 2024","676","","Login Tests","","","","should get error with invalid credentils ",""
"passed","Thu May 30 05:00:01 GMT 2024","Thu May 30 05:00:05 GMT 2024","3978","","Contact Tests","","","","should edit existing contact",""
"passed","Thu May 30 04:59:48 GMT 2024","Thu May 30 04:59:50 GMT 2024","1971","","Login Tests","","","","should register new user",""
"passed","Thu May 30 04:59:47 GMT 2024","Thu May 30 04:59:48 GMT 2024","929","","Login Tests","","","","should login with valid credentials",""
"passed","Thu May 30 05:00:05 GMT 2024","Thu May 30 05:00:05 GMT 2024","297","","Contact Tests","","","","should delete existing contact",""
"passed","Thu May 30 04:59:59 GMT 2024","Thu May 30 05:00:01 GMT 2024","2169","","Contact Tests","","","","should create new contact",""
